Date,corn,soybean_meal,hog,crush,corn + soybean_meal
2002-02-14,35212.5,14819.999999999998,157920.0,107887.5,50032.5
2002-02-15,34912.5,14830.000000000002,157440.0,107697.5,49742.5
2002-02-19,34987.5,14800.0,158480.0,108692.5,49787.5
2002-02-20,35212.5,14969.999999999998,158240.0,108057.5,50182.5
2002-02-21,35212.5,14990.0,157280.0,107077.5,50202.5
2002-02-22,34987.5,14880.000000000002,157280.0,107412.5,49867.5
2002-02-25,34462.5,14790.0,157120.0,107867.5,49252.5
2002-02-26,34087.5,14840.0,157680.0,108752.5,48927.5
2002-02-27,34387.5,15230.000000000002,158080.0,108462.5,49617.5
2002-02-28,34462.5,14960.0,159200.0,109777.5,49422.5
2002-03-01,34725.0,15150.0,159360.0,109485.0,49875.0
2002-03-04,34500.0,15219.999999999998,158960.0,109240.0,49720.0
2002-03-05,34650.0,15390.0,157280.0,107240.0,50040.0
2002-03-06,34500.0,15260.0,156800.0,107040.0,49760.0
2002-03-07,34387.5,15360.0,157760.0,108012.5,49747.5
2002-03-08,34425.0,15640.0,157280.0,107215.0,50065.0
2002-03-11,34575.0,15450.0,155520.0,105495.0,50025.0
2002-03-12,34650.0,15400.0,156080.0,106030.0,50050.0
2002-03-13,34237.50000000001,15400.0,155520.0,105882.5,49637.50000000001
2002-03-14,34275.0,15550.0,155440.0,105615.0,49825.0
2002-03-15,34012.5,15600.0,154880.0,105267.5,49612.5
2002-03-18,34087.5,15330.000000000002,152320.0,102902.5,49417.5
2002-03-19,34087.5,15390.0,150400.0,100922.5,49477.5
2002-03-20,34012.5,15310.0,152000.0,102677.5,49322.5
2002-03-21,33937.5,15369.999999999998,152160.0,102852.5,49307.5
2002-03-22,33825.0,15469.999999999998,150160.0,100865.0,49295.0
2002-03-25,33712.5,15460.0,148720.0,99547.5,49172.5
2002-03-26,33825.0,15690.0,148320.0,98805.0,49515.0
2002-03-27,34012.5,15810.0,145280.0,95457.5,49822.5
2002-03-28,33600.00000000001,15700.0,144960.0,95660.0,49300.00000000001
2002-04-01,33675.0,15780.000000000002,144960.0,95505.0,49455.0
2002-04-02,33712.5,15750.0,145920.0,96457.5,49462.5
2002-04-03,33337.5,15369.999999999998,145920.0,97212.5,48707.5
2002-04-04,33337.5,15140.0,142560.0,94082.5,48477.5
2002-04-05,33337.5,15190.0,141520.0,92992.5,48527.5
2002-04-08,33450.0,15050.0,139200.0,90700.0,48500.0
2002-04-09,33412.5,15030.000000000002,142400.0,93957.5,48442.5
2002-04-10,33187.5,14890.0,138560.0,90482.5,48077.5
2002-04-11,33075.0,14810.0,134560.0,86675.0,47885.0
2002-04-12,32850.0,14969.999999999998,140800.0,92980.0,47820.0
2002-04-15,32662.500000000007,14850.0,146560.0,99047.5,47512.50000000001
2002-04-16,32887.5,15169.999999999998,146320.0,98262.5,48057.5
2002-04-17,33150.0,15240.0,145200.0,96810.0,48390.0
2002-04-18,32887.5,15140.0,142720.0,94692.5,48027.5
2002-04-19,32550.0,15230.000000000002,140480.0,92700.0,47780.0
2002-04-22,32775.0,15010.0,135600.0,87815.0,47785.0
2002-04-23,32887.5,15169.999999999998,130959.99999999999,82902.49999999999,48057.5
2002-04-24,32775.0,15300.0,132080.0,84005.0,48075.0
2002-04-25,32775.0,15219.999999999998,131040.00000000001,83045.00000000001,47995.0
2002-04-26,32812.5,15069.999999999998,131840.0,83957.5,47882.5
2002-04-29,32550.0,15080.000000000002,128080.0,80450.0,47630.0
2002-04-30,32587.5,15060.0,128959.99999999999,81312.49999999999,47647.5
2002-05-01,32962.49999999999,15050.0,129120.0,81107.5,48012.49999999999
2002-05-02,32550.0,14980.000000000002,129600.0,82070.0,47530.0
2002-05-03,32662.500000000007,15060.0,129600.0,81877.5,47722.50000000001
2002-05-06,32625.0,15050.0,129680.0,82005.0,47675.0
2002-05-07,33225.0,15050.0,129440.00000000001,81165.00000000001,48275.0
2002-05-08,33187.5,15230.000000000002,128320.0,79902.5,48417.5
2002-05-09,33262.49999999999,15430.000000000002,128159.99999999999,79467.5,48692.49999999999
2002-05-10,33300.00000000001,15140.0,129600.0,81160.0,48440.00000000001
2002-05-13,34575.0,15390.0,130800.0,80835.0,49965.0
2002-05-14,34612.5,15290.0,130880.0,80977.5,49902.5
2002-05-15,34762.5,15469.999999999998,130959.99999999999,80727.49999999999,50232.5
2002-05-16,34275.0,15440.0,128880.0,79165.0,49715.0
2002-05-17,33637.5,15460.0,128720.0,79622.5,49097.5
2002-05-20,33975.0,15510.0,122640.00000000001,73155.00000000001,49485.0
2002-05-21,33937.5,15380.000000000002,116720.0,67402.5,49317.5
2002-05-22,33562.5,15319.999999999998,118800.0,69917.5,48882.5
2002-05-23,33562.5,15219.999999999998,120559.99999999999,71777.49999999999,48782.5
2002-05-24,33187.5,15219.999999999998,119040.00000000001,70632.50000000001,48407.5
2002-05-28,33600.00000000001,15290.0,116720.0,67830.0,48890.00000000001
2002-05-29,34199.99999999999,15310.0,118000.0,68490.0,49509.99999999999
2002-05-30,34425.0,15530.000000000002,118959.99999999999,69004.99999999999,49955.0
2002-05-31,34500.0,15669.999999999998,120240.00000000001,70070.00000000001,50170.0
2002-06-03,33937.5,15469.999999999998,119840.00000000001,70432.50000000001,49407.5
2002-06-04,34050.0,15490.0,117200.0,67660.0,49540.0
2002-06-05,34012.5,15380.000000000002,117359.99999999999,67967.49999999999,49392.5
2002-06-06,34012.5,15400.0,121040.00000000001,71627.50000000001,49412.5
2002-06-07,33375.0,15340.0,119440.00000000001,70725.00000000001,48715.0
2002-06-10,33450.0,15430.000000000002,113040.00000000001,64160.000000000015,48880.0
2002-06-11,33000.0,15469.999999999998,113759.99999999999,65289.999999999985,48470.0
2002-06-12,33450.0,15390.0,114559.99999999999,65719.99999999999,48840.0
2002-06-13,34125.0,15490.0,117040.00000000001,67425.00000000001,49615.0
2002-06-14,33825.0,15310.0,116320.0,67185.0,49135.0
2002-06-17,33675.0,15380.000000000002,117840.00000000001,68785.00000000001,49055.0
2002-06-18,33412.5,15330.000000000002,120720.0,71977.5,48742.5
2002-06-19,33637.5,15369.999999999998,120720.0,71712.5,49007.5
2002-06-20,33937.5,15330.000000000002,120959.99999999999,71692.49999999999,49267.5
2002-06-21,34012.5,15369.999999999998,117359.99999999999,67977.49999999999,49382.5
2002-06-24,35325.0,15750.0,115759.99999999999,64684.999999999985,51075.0
2002-06-25,35774.99999999999,15910.0,115840.00000000001,64155.00000000002,51684.99999999999
2002-06-26,35962.5,16050.0,113840.00000000001,61827.500000000015,52012.5
2002-06-27,36675.0,16260.0,113920.0,60985.0,52935.0
2002-06-28,36525.0,16620.0,118480.0,65335.0,53145.0
2002-07-16,36675.0,17230.0,129600.0,75695.0,53905.0
2002-07-17,36225.0,16980.0,130080.0,76875.0,53205.0
2002-07-18,36375.0,16940.0,129759.99999999999,76444.99999999999,53315.0
2002-07-19,36712.49999999999,16980.0,129520.0,75827.5,53692.49999999999
2002-07-22,38400.0,17530.0,125920.0,69990.0,55930.0
2002-07-23,37687.5,17040.0,125600.0,70872.5,54727.5
2002-07-24,38887.49999999999,17330.0,124080.0,67862.5,56217.49999999999
2002-07-25,38137.5,16710.0,127359.99999999999,72512.49999999999,54847.5
2002-07-26,37912.5,16360.0,127440.00000000001,73167.50000000001,54272.5
2002-07-29,36037.5,15919.999999999998,127120.0,75162.5,51957.5
2002-07-30,36862.5,16410.0,128559.99999999999,75287.49999999999,53272.5
2002-07-31,38475.0,16670.0,128159.99999999999,73014.99999999999,55145.0
2002-08-01,38812.5,16900.0,125040.00000000001,69327.50000000001,55712.5
2002-08-02,39450.0,16960.0,123440.00000000001,67030.00000000001,56410.0
2002-08-05,39562.5,16850.0,120880.0,64467.5,56412.5
2002-08-06,39300.0,16850.0,122400.0,66250.0,56150.0
2002-08-07,39000.0,16640.0,120880.0,65240.0,55640.0
2002-08-08,38587.49999999999,16390.0,122240.00000000001,67262.50000000003,54977.49999999999
2002-08-09,39225.00000000001,16590.0,123840.00000000001,68025.0,55815.00000000001
2002-08-12,40837.5,17400.0,120240.00000000001,62002.500000000015,58237.5
2002-08-13,41925.0,17760.0,118959.99999999999,59274.999999999985,59685.0
2002-08-14,42712.5,18210.0,118240.00000000001,57317.500000000015,60922.5
2002-08-15,42600.0,18030.0,118959.99999999999,58329.999999999985,60630.0
2002-08-16,42375.0,17770.0,119600.0,59455.0,60145.0
2002-08-19,41625.0,17260.0,119120.0,60235.0,58885.0
2002-08-20,40612.5,16720.0,112720.0,55387.5,57332.5
2002-08-21,40875.0,16990.0,112640.00000000001,54775.000000000015,57865.0
2002-08-22,40725.0,16830.0,112480.0,54925.0,57555.0
2002-08-23,41025.0,16820.0,111520.0,53675.0,57845.0
2002-08-26,41212.5,16910.0,107359.99999999999,49237.499999999985,58122.5
2002-08-27,40837.5,17070.0,107680.0,49772.5,57907.5
2002-08-28,40537.5,17030.0,106800.0,49232.5,57567.5
2002-08-29,40012.5,16920.0,109840.00000000001,52907.500000000015,56932.5
2002-08-30,40200.0,17020.0,112959.99999999999,55739.999999999985,57220.0
2002-09-03,41137.5,17220.0,109840.00000000001,51482.500000000015,58357.5
2002-09-04,41775.0,17350.0,113359.99999999999,54234.999999999985,59125.0
2002-09-05,42075.0,17630.0,117280.0,57575.0,59705.0
2002-09-06,42487.5,17780.0,118959.99999999999,58692.499999999985,60267.5
2002-09-09,43387.5,18140.0,116080.0,54552.5,61527.5
2002-09-10,43125.0,18370.0,120640.00000000001,59145.000000000015,61495.0
2002-09-11,43875.0,18910.0,121280.0,58495.0,62785.0
2002-09-12,42487.5,18490.0,119680.0,58702.5,60977.5
